Timestamp	Lap_Number	Position(x)	Position(y)	Position(z)	Orientation(x)	Orientation(y)	Orientation(z)	Collision_Target	Path_Deviation	Estimated_Path_Center(x)	Estimated_Path_Center(y)	Estimated_Path_Center(z)	Gaze_Target	Gaze_Location(x)	Gaze_Location(y)	Gaze_Location(z)	Gaze_Through_Gate	Norm_Pos(x)	Norm_Pos(y)	Left_X	Left_Y	Right_X	Right_Y	FPS
1634328856675	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	Terrain_0_0-20210127 - 113419	-342.6404	477.4822	800.7361	NULL	0.4323	0.4372	0.0000	-1.0000	0.0000	0.0000	88.63676
1634328856687	0	-255.40000000	260.92760000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	Terrain_0_0-20210127 - 113419	-342.6404	477.4822	800.7361	NULL	0.4323	0.4372	0.0000	-1.0000	0.0000	0.0000	88.63676
1634328856709	0	-255.40000000	260.78290000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	90.35628
1634328856720	0	-255.40000000	260.56700000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	90.35628
1634328856743	0	-255.40000000	260.28120000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	92.3344
1634328856754	0	-255.40000000	259.92700000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	92.3344
1634328856776	0	-255.40000000	259.50650000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	88.88257
1634328856787	0	-255.40000000	259.02190000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	88.88257
1634328856809	0	-255.40000000	258.47530000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	88.95611
1634328856820	0	-255.40000000	257.86950000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-267.2293	296.7579	-37.1930	NULL	0.4385	0.4724	0.0000	-1.0000	0.0000	0.0000	88.95611
1634328856842	0	-255.40000000	257.20680000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-268.6703	319.3666	29.4542	NULL	0.4532	0.5317	0.0000	-1.0000	0.0000	0.0000	92.4035
1634328856853	0	-255.40000000	256.48970000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-268.6703	319.3666	29.4542	NULL	0.4532	0.5317	0.0000	-1.0000	0.0000	0.0000	92.4035
1634328856875	0	-255.40000000	255.72100000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-261.9673	291.8861	-29.2960	NULL	0.4675	0.4574	0.0000	-1.0000	0.0000	0.0000	91.45157
1634328856886	0	-255.40000000	254.90300000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-261.9673	291.8861	-29.2960	NULL	0.4675	0.4574	0.0000	-1.0000	0.0000	0.0000	91.45157
1634328856908	0	-255.40000000	254.03840000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	NULL	0.0000	0.0000	0.0000	NULL	0.4602	0.7150	0.0000	-1.0000	0.0000	0.0000	91.27419
1634328856919	0	-255.40000000	253.12970000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	RegularGate 0	-256.7953	259.6446	-160.5734	NULL	0.4537	0.5291	0.0000	-1.0000	0.0000	0.0000	91.27419
