Timestamp	Lap_Number	Position(x)	Position(y)	Position(z)	Orientation(x)	Orientation(y)	Orientation(z)	Collision_Target	Path_Deviation	Estimated_Path_Center(x)	Estimated_Path_Center(y)	Estimated_Path_Center(z)	Gaze_Target	Gaze_Location(x)	Gaze_Location(y)	Gaze_Location(z)	Gaze_Through_Gate	Norm_Pos(x)	Norm_Pos(y)	Left_X	Left_Y	Right_X	Right_Y	FPS
1633028938323	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-255.1285	302.5784	-29.8411	NULL	0.5013	0.5046	0.0000	0.0000	0.0000	0.0000	89.19215
1633028938335	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-255.1285	302.5784	-29.8411	NULL	0.5013	0.5046	0.0000	0.0000	0.0000	0.0000	89.19215
1633028938357	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-256.1264	300.9139	-29.0788	NULL	0.4964	0.4888	0.0000	0.0000	0.0000	0.0000	88.50732
1633028938368	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-256.1264	300.9139	-29.0788	NULL	0.4964	0.4888	0.0000	0.0000	0.0000	0.0000	88.50732
1633028938390	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-256.1264	300.9139	-29.0788	NULL	0.4964	0.4888	0.0000	0.0000	0.0000	0.0000	91.79787
1633028938401	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-256.1264	300.9139	-29.0788	NULL	0.4964	0.4888	0.0000	0.0000	0.0000	0.0000	91.79787
1633028938424	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-256.1264	300.9139	-29.0788	NULL	0.4964	0.4888	0.0000	0.0000	0.0000	0.0000	91.34547
1633028938435	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-256.1264	300.9139	-29.0788	NULL	0.4964	0.4888	0.0000	0.0000	0.0000	0.0000	91.34547
1633028938457	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_02	-256.1264	300.9139	-29.0788	NULL	0.4964	0.4888	0.0000	0.0000	0.0000	0.0000	89.62179
1633028938479	0	-255.40000000	261.00000000	-182.90000000	0.00000000	0.00000000	0.00000000	NULL	2.3692	-253.0527	243.7954	-182.5780	_Sp_PW_Tree_Sequoia_01	-250.0160	349.4110	172.6880	NULL	0.5115	0.4748	0.0000	0.0000	0.0000	0.0000	89.62179
